nivel,w,heuristica,deadlocks,exito,motivo_fin,costo,costo_optimo,empujes,nodos_expandidos,nodos_generados,frontera_maxima,memoria_maxima,tiempo_s
n2_akk04,0.00,h5,completo,True,meta,45,45,18,9642,24220,675,10881,0.094
n2_akk04,0.05,h5,completo,True,meta,45,45,18,9625,24177,676,10869,0.076
n2_akk04,0.10,h5,completo,True,meta,45,45,18,9309,23415,683,10666,0.074
n2_akk04,0.15,h5,completo,True,meta,45,45,18,8945,22499,691,10297,0.071
n2_akk04,0.20,h5,completo,True,meta,45,45,18,8483,21341,712,9904,0.069
n2_akk04,0.25,h5,completo,True,meta,45,45,18,7976,20079,717,9392,0.071
n2_akk04,0.30,h5,completo,True,meta,45,45,18,7529,18955,700,8903,0.062
n2_akk04,0.35,h5,completo,True,meta,45,45,18,6995,17608,723,8401,0.073
n2_akk04,0.40,h5,completo,True,meta,45,45,18,6197,15602,710,7610,0.051
n2_akk04,0.45,h5,completo,True,meta,45,45,18,5544,13954,707,6958,0.046
n2_akk04,0.50,h5,completo,True,meta,45,45,18,4460,11213,677,5793,0.038
n2_akk04,0.55,h5,completo,True,meta,45,45,18,3872,9733,712,5278,0.033
n2_akk04,0.60,h5,completo,True,meta,45,45,18,2857,7183,724,4270,0.026
n2_akk04,0.65,h5,completo,True,meta,45,45,18,1858,4653,571,2909,0.017
n2_akk04,0.70,h5,completo,True,meta,45,45,18,1001,2512,308,1493,0.009
n2_akk04,0.75,h5,completo,True,meta,45,45,18,684,1696,213,994,0.006
n2_akk04,0.80,h5,completo,True,meta,47,45,18,608,1502,184,740,0.005
n2_akk04,0.85,h5,completo,True,meta,49,45,18,554,1384,151,716,0.005
n2_akk04,0.90,h5,completo,True,meta,49,45,18,1847,4724,354,1735,0.016
n2_akk04,0.95,h5,completo,True,meta,101,45,34,4711,12115,551,2458,0.040
n2_akk04,1.00,h5,completo,True,meta,103,45,34,1565,4005,292,2149,0.012
n3_caminata,0.00,h5,completo,True,meta,104,104,22,1806,4330,85,1834,0.011
n3_caminata,0.05,h5,completo,True,meta,104,104,22,1806,4330,85,1834,0.011
n3_caminata,0.10,h5,completo,True,meta,104,104,22,1806,4330,85,1834,0.011
n3_caminata,0.15,h5,completo,True,meta,104,104,22,1804,4326,87,1834,0.011
n3_caminata,0.20,h5,completo,True,meta,104,104,22,1797,4310,93,1831,0.011
n3_caminata,0.25,h5,completo,True,meta,104,104,22,1790,4295,96,1830,0.011
n3_caminata,0.30,h5,completo,True,meta,104,104,22,1784,4281,99,1826,0.011
n3_caminata,0.35,h5,completo,True,meta,104,104,22,1767,4242,103,1819,0.011
n3_caminata,0.40,h5,completo,True,meta,104,104,22,1749,4198,103,1807,0.011
n3_caminata,0.45,h5,completo,True,meta,104,104,22,1736,4168,107,1800,0.011
n3_caminata,0.50,h5,completo,True,meta,104,104,22,1702,4088,122,1778,0.011
n3_caminata,0.55,h5,completo,True,meta,104,104,22,1693,4067,126,1771,0.010
n3_caminata,0.60,h5,completo,True,meta,104,104,22,1680,4032,129,1757,0.022
n3_caminata,0.65,h5,completo,True,meta,104,104,22,1682,4037,138,1750,0.011
n3_caminata,0.70,h5,completo,True,meta,104,104,22,1665,3998,153,1676,0.011
n3_caminata,0.75,h5,completo,True,meta,104,104,22,1691,4093,185,1624,0.011
n3_caminata,0.80,h5,completo,True,meta,104,104,22,1782,4355,213,1610,0.012
n3_caminata,0.85,h5,completo,True,meta,104,104,22,1986,4890,211,1606,0.014
n3_caminata,0.90,h5,completo,True,meta,104,104,22,2233,5534,225,1593,0.015
n3_caminata,0.95,h5,completo,True,meta,104,104,22,2379,5872,224,1478,0.016
n3_caminata,1.00,h5,completo,True,meta,108,104,26,1243,3039,126,1445,0.008
n4_matching,0.00,h5,completo,True,meta,70,70,22,60308,154922,2096,62195,0.529
n4_matching,0.05,h5,completo,True,meta,70,70,22,59514,152892,2090,61512,0.497
n4_matching,0.10,h5,completo,True,meta,70,70,22,58519,150387,2119,60778,0.518
n4_matching,0.15,h5,completo,True,meta,70,70,22,57661,148150,2156,60053,0.492
n4_matching,0.20,h5,completo,True,meta,70,70,22,56394,144880,2250,58926,0.490
n4_matching,0.25,h5,completo,True,meta,70,70,22,55060,141423,2372,57723,0.461
n4_matching,0.30,h5,completo,True,meta,70,70,22,53703,137941,2467,56460,0.465
n4_matching,0.35,h5,completo,True,meta,70,70,22,51949,133456,2584,54749,0.449
n4_matching,0.40,h5,completo,True,meta,70,70,22,49731,127799,2746,52666,0.439
n4_matching,0.45,h5,completo,True,meta,70,70,22,47389,121806,2892,50361,0.401
n4_matching,0.50,h5,completo,True,meta,70,70,22,43628,112190,3265,47121,0.392
n4_matching,0.55,h5,completo,True,meta,70,70,22,40858,105217,3366,45047,0.374
n4_matching,0.60,h5,completo,True,meta,70,70,22,35498,91593,3621,40970,0.314
n4_matching,0.65,h5,completo,True,meta,70,70,22,27732,71808,3785,34535,0.285
n4_matching,0.70,h5,completo,True,meta,70,70,22,16086,41873,3612,22606,0.153
n4_matching,0.75,h5,completo,True,meta,70,70,22,6390,17006,2185,9050,0.063
n4_matching,0.80,h5,completo,True,meta,81,70,26,1206,3195,484,1897,0.011
n4_matching,0.85,h5,completo,True,meta,87,70,28,466,1240,212,748,0.004
n4_matching,0.90,h5,completo,True,meta,95,70,28,232,606,119,466,0.005
n4_matching,0.95,h5,completo,True,meta,95,70,28,225,584,115,451,0.005
n4_matching,1.00,h5,completo,True,meta,95,70,28,219,570,115,449,0.003
