nivel,metodo,heuristica,deadlocks,corrida,orden_sucesores,exito,motivo_fin,costo,empujes,nodos_expandidos,nodos_generados,frontera_maxima,frontera_final,estados_visitados,memoria_maxima,tiempo_s
n1_micro,BFS,—,ninguno,1,—,True,meta,8,5,38,94,12,11,50,62,0.000
n1_micro,BFS,—,ninguno,2,—,True,meta,8,5,38,94,12,11,50,62,0.000
n1_micro,BFS,—,ninguno,3,—,True,meta,8,5,38,94,12,11,50,62,0.000
n1_micro,BFS,—,ninguno,4,—,True,meta,8,5,38,94,12,11,50,62,0.000
n1_micro,BFS,—,ninguno,5,—,True,meta,8,5,38,94,12,11,50,62,0.000
n1_micro,BFS,—,estaticos,1,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,estaticos,2,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,estaticos,3,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,estaticos,4,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,estaticos,5,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,congelados,1,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,congelados,2,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,congelados,3,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,congelados,4,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,congelados,5,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,completo,1,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,completo,2,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,completo,3,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,completo,4,—,True,meta,8,5,35,85,10,8,44,53,0.000
n1_micro,BFS,—,completo,5,—,True,meta,8,5,35,85,10,8,44,53,0.000
